AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,质量指标
212,89,162,224,98,60,1.35,112,33.17
207,89,158,199,52,46,1.34,99,37.72
179,102,137,152,33,39,1.17,64,39.24
177,99,134,159,53,40,1.2,109,37.24
203,98,157,171,24,29,1.34,111,40.51
92,37,68,69,29,26,1.1,63,78.88
63,16,45,63,30,26,0.96,61,78.41
83,47,61,85,37,31,0.93,99,77.84
115,76,87,126,37,38,1.12,76,58.29
137,68,104,151,44,39,1.24,67,57.88
139,84,108,148,48,46,0.8,99,57.08
134,77,85,117,26,40,0.97,90,59.22
103,53,71,106,28,44,1,58,58.91
99,72,81,105,28,33,1.14,55,79.15
70,73,19,26,8,21,1.33,44,80.72
27,8,15,26,21,27,1.19,53,99.24
33,16,24,34,22,25,1.17,63,99.21
44,21,35,46,32,24,1.08,57,98.23
64,28,56,85,35,38,1.01,64,78.07
91,30,73,114,49,40,0.84,66,76.67
104,62,80,132,44,42,0.93,69,57.33
115,95,90,145,67,47,1.05,60,55.25
121,88,98,160,61,48,1.05,71,55.93
149,81,123,173,56,52,1.23,51,56.86
154,72,120,165,66,51,1.38,58,35.98
141,63,94,121,35,40,0.95,73,58.39
124,53,104,127,34,44,1.04,44,58.68
127,55,69,92,31,38,1.19,49,58.78
63,23,37,73,41,35,0.99,65,77.26
71,37,56,106,46,42,0.76,62,76.72
85,54,58,66,33,31,0.84,54,78.12
66,56,39,77,42,29,0.8,69,76.99
67,46,46,92,31,33,0.79,77,78.15
83,53,72,112,49,45,0.91,62,76.73
125,80,89,101,48,37,0.88,73,56.97
129,54,107,166,85,72,1.48,52,54.05
145,53,112,184,55,78,1.47,49,57.09
150,51,109,192,72,67,1.22,75,55.11
140,55,117,179,106,88,1.32,58,51.89
141,65,107,151,62,55,1.05,96,55.92
164,52,136,199,64,70,1.22,67,36.18
212,58,151,201,43,67,1.28,48,38.49
221,76,167,215,77,51,1.55,92,35.52
160,93,98,131,55,46,1.17,78,36.65
137,84,97,125,66,43,1.05,52,55.42
126,69,107,133,60,41,1.08,50,56.15
165,87,129,159,56,48,1.14,53,36.83
157,81,103,98,22,34,1.2,51,40.03
96,46,45,51,31,33,1.31,53,78.66
45,25,32,42,53,35,1.19,53,96.21
56,36,42,51,40,27,0.93,64,77.35
74,61,60,73,37,30,0.93,73,77.83
82,40,68,88,40,37,1.06,67,77.74
111,52,90,107,40,36,1.02,78,57.92
139,60,128,147,51,41,1.4,88,57.58
195,85,157,182,49,49,1.62,92,38.29
204,78,159,191,71,61,1.55,68,36.04
193,59,123,139,55,47,1.23,85,36.96
156,41,137,163,62,59,1.34,77,36.51
202,63,146,164,81,47,1.38,95,34.74
164,96,91,113,46,34,0.91,88,37.22
98,53,66,90,40,36,0.84,83,77.5
81,26,61,85,38,34,0.84,87,77.65
110,41,100,139,72,55,1.37,73,55.17
156,147,131,175,71,68,1.55,57,35.76
190,173,157,201,76,76,1.75,55,35.72
219,178,185,227,72,86,1.74,58,36.39
204,142,156,191,64,59,1.35,95,36.51
189,158,144,172,55,54,1.32,95,37.26
216,149,166,239,63,84,1.61,58,36.97
303,181,251,344,76,106,2.11,39,17.02
160,127,122,140,27,44,1.33,68,39.85
84,112,62,71,41,32,1.55,48,78.07
109,145,81,96,44,29,1.39,70,57.8
170,151,130,151,31,37,1.72,41,39.92
93,61,69,73,36,30,1.96,11,79.05
56,21,38,51,33,25,1.76,27,78.84
83,68,61,69,61,36,1.79,66,76.3
145,121,109,141,53,52,1.87,37,57.66
157,108,119,153,54,59,1.61,60,37.4
181,120,138,183,61,69,1.59,58,36.87
185,107,141,176,55,60,1.36,62,37.27
157,83,118,145,37,49,1.13,87,38.61
184,107,139,187,42,77,1.47,61,38.66
195,158,148,191,57,62,1.51,85,37.29
123,155,93,135,34,41,0.73,91,58.26
121,132,91,138,37,52,0.9,87,58.11
157,116,119,160,25,63,0.92,74,39.61
271,183,221,246,37,69,1.36,29,19.87
262,177,212,217,34,46,1.16,60,19.88
244,169,193,222,49,53,1.31,88,38.34
199,158,158,184,22,55,1.3,60,40.68
178,152,135,150,18,46,1.28,57,40.83
195,112,149,173,35,35,1.46,74,39.45
209,90,194,263,34,27,0.84,73,39.38
82,56,59,75,12,25,0.76,83,80.15
